 frequency       inoise_spectrum onoise_spectrum
 2.98708461e+04  4.94135077e-10  1.11377676e-08 
 3.05596598e+04  4.94134954e-10  1.11377614e-08 
 3.12643573e+04  4.94134828e-10  1.11377550e-08 
 3.19853049e+04  4.94134697e-10  1.11377483e-08 
 3.27228774e+04  4.94134562e-10  1.11377414e-08 
 3.34774581e+04  4.94134422e-10  1.11377341e-08 
 3.42494392e+04  4.94134277e-10  1.11377266e-08 
 3.50392221e+04  4.94134126e-10  1.11377187e-08 
 3.58472171e+04  4.94133970e-10  1.11377105e-08 
 3.66738442e+04  4.94133808e-10  1.11377020e-08 
 3.75195331e+04  4.94133640e-10  1.11376931e-08 
 3.83847234e+04  4.94133465e-10  1.11376838e-08 
 3.92698648e+04  4.94133283e-10  1.11376740e-08 
 4.01754173e+04  4.94133094e-10  1.11376639e-08 
 4.11018515e+04  4.94132897e-10  1.11376533e-08 
 4.20496491e+04  4.94132693e-10  1.11376423e-08 
 4.30193027e+04  4.94132480e-10  1.11376307e-08 
 4.40113162e+04  4.94132259e-10  1.11376187e-08 
 4.50262052e+04  4.94132028e-10  1.11376061e-08 
 4.60644974e+04  4.94131788e-10  1.11375930e-08 
 4.71267322e+04  4.94131537e-10  1.11375793e-08 
 4.82134619e+04  4.94131276e-10  1.11375649e-08 
 4.93252513e+04  4.94131004e-10  1.11375499e-08 
 5.04626783e+04  4.94130721e-10  1.11375343e-08 
 5.16263340e+04  4.94130425e-10  1.11375179e-08 
 5.28168234e+04  4.94130117e-10  1.11375008e-08 
